"document_index","document_title","paragraph_index","question","answer","label","__language__"
2,"CIENCIA_DA_COMPUTACAO",0,"Who is credited with the invention of the abacus?","The first known tool for computing was the abacus, whose invention is attributed to inhabitants of Mesopotamia, around 27002300 BC.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How are the most modern versions of the abacus used?","The first known tool for computing was the abacus, the invention of which is attributed to inhabitants of Mesopotamia, around 27002300 BC.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"By whom were the logarithmic tables produced?","The first known tool for computation was the abacus, the invention of which is attributed to inhabitants of Mesopotamia, around 27002300 BC.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the original use of the abacus?","The first known tool for computing was the abacus, the invention of which is attributed to the inhabitants of Mesopotamia, around 27002300 BC.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the first known tool for computing?","The first known tool for computing was the abacus, the invention of which is attributed to the inhabitants of Mesopotamia, around 27002300 BC.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How many rules did Pānini use to formulate the grammar of Sanskrit?","The first known tool for computation was the abacus, the invention of which is attributed to the inhabitants of Mesopotamia, around 27002300 BC.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who invented the logarithm?","The first known tool for computation was the abacus, whose invention is attributed to inhabitants of Mesopotamia, around 27002300 BC.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who is credited with the invention of the abacus?","Its original use was to draw lines in the sand with rocks.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How are the most modern versions of the abacus used?","Its original use was to draw lines in the sand with rocks.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who produced the logarithmic tables?","Their original use was to draw lines in the sand with rocks.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the original use of the abacus?.","Its original use was to draw lines in the sand with rocks.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the first known tool for computing?","Its original use was to draw lines in the sand with rocks.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How many rules did Pānini use to formulate the grammar of Sanskrit?","His original use was to draw lines in the sand with rocks.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who invented the logarithm?","Its original use was to draw lines in the sand with rocks.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who is credited with the invention of the abacus?","More modern versions of the abacus are still used as a calculating tool.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How are the most modern versions of the abacus used?","More modern versions of the abacus are still used as a calculation tool.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who produced the logarithmic tables?","More modern versions of the abacus are still used as a calculation tool.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the original use of the abacus?","More modern versions of the abacus are still used as a calculation tool.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the first known tool for computing?","More modern versions of the abacus are still used as a calculation tool.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How many rules did Pānini use to formulate the grammar of Sanskrit?","More modern versions of abacus are still used as an instrument of calculation.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who invented the logarithm?","More modern versions of the abacus are still used as a calculation tool.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who is credited with the invention of the abacus?.","In the seventh century.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How are the most modern versions of the abacus used?.","In the seventh century.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who produced the logarithmic tables?.","In the seventh century.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the original use of the abacus?","In the 7th century",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the first known tool for computing?.","In the seventh century.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How many rules did Pānini use to formulate the grammar of Sanskrit?","In the 7th century",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",0,"Who invented the logarithm?","In the 7th century",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",0,"Who is credited with the invention of the abacus? .","BC, in ancient India, the grammarian Pānini formulated the grammar of Sanskrit using 3,959 rules known as Ashtadhyāyi, quite systematically and technically.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How are the most modern versions of abacus used? .","BC, in ancient India, the grammarian Pānini formulated the grammar of Sanskrit using 3959 rules known as Ashtadhyāyi, quite systematically and technically.",0,"en"
